,Starters,Date,MP_x,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP_y,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Kristaps Porzingis,2016-10-25,32:48,5,13,.385,3,5,.600,3,6,.500,4,3,7,0,1,2,2,5,16,-21,32:48,.512,.500,.385,.462,11.0,11.0,11.0,0.0,1.5,5.0,11.3,22.7,100,116
1,Carmelo Anthony,2016-10-25,30:05,8,18,.444,1,4,.250,2,2,1.000,1,4,5,3,1,0,4,5,19,-19,30:05,.503,.472,.222,.111,3.0,16.0,8.6,24.9,1.6,0.0,17.5,32.1,90,117
2,Derrick Rose,2016-10-25,29:35,7,17,.412,1,2,.500,2,2,1.000,2,1,3,1,0,1,4,1,17,-19,29:35,.475,.441,.118,.118,6.1,4.1,5.2,7.9,0.0,2.8,18.3,31.2,83,123
3,Courtney Lee,2016-10-25,19:37,0,5,.000,0,2,.000,0,0,,1,2,3,0,0,1,2,1,0,-19,19:37,.000,.000,.400,.000,4.6,12.2,7.9,0.0,0.0,4.1,28.6,15.1,8,120
4,Joakim Noah,2016-10-25,19:31,0,1,.000,0,0,,0,0,,1,5,6,3,1,0,1,1,0,-1,19:31,.000,.000,.000,.000,4.6,30.7,15.9,23.1,2.5,0.0,50.0,4.3,72,112
5,Justin Holiday,2016-10-25,26:27,2,7,.286,2,3,.667,2,2,1.000,1,5,6,2,1,0,0,0,8,-14,26:27,.508,.429,.429,.286,3.4,22.7,11.7,12.8,1.8,0.0,0.0,12.6,122,116
6,Brandon Jennings,2016-10-25,21:14,1,7,.143,0,4,.000,5,6,.833,1,2,3,5,0,0,1,2,7,-14,21:14,.363,.143,.571,.857,4.3,11.3,7.3,38.0,0.0,0.0,9.4,21.1,95,122
7,Lance Thomas,2016-10-25,16:37,1,4,.250,0,0,,0,0,,0,1,1,1,2,0,1,2,2,-11,16:37,.250,.250,.000,.000,0.0,7.2,3.1,9.9,5.8,0.0,20.0,12.7,51,111
8,Kyle O'Quinn,2016-10-25,15:24,1,3,.333,0,2,.000,0,0,,1,4,5,1,0,2,1,3,2,-10,15:24,.333,.333,.667,.000,5.9,31.2,16.8,10.8,0.0,10.6,25.0,11.0,70,110
9,Willy Hernangomez,2016-10-25,9:26,2,3,.667,0,0,,0,0,,1,0,1,0,0,0,1,1,4,-3,9:26,.667,.667,.000,.000,9.6,0.0,5.5,0.0,0.0,0.0,25.0,17.9,98,125
10,Mindaugas Kuzminskas,2016-10-25,9:14,3,5,.600,1,3,.333,0,0,,0,1,1,0,0,0,0,0,7,-4,9:14,.700,.700,.600,.000,0.0,13.0,5.6,0.0,0.0,0.0,0.0,22.8,131,122
11,Ron Baker,2016-10-25,6:44,2,3,.667,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,5,-5,6:44,.833,.833,.333,.000,0.0,17.8,7.7,0.0,0.0,0.0,0.0,18.8,153,121
12,Sasha Vujacic,2016-10-25,3:18,0,1,.000,0,1,.000,1,2,.500,0,0,0,1,0,0,1,1,1,-5,3:18,.266,.000,1.000,2.000,0.0,0.0,0.0,45.5,0.0,0.0,34.7,36.8,51,125
0,LeBron James,2016-10-25,32:23,9,14,.643,0,3,.000,1,2,.500,3,8,11,14,0,1,4,3,19,+26,32:23,.638,.643,.214,.143,11.1,22.4,17.5,65.5,0.0,2.5,21.2,24.1,129,90
1,Kyrie Irving,2016-10-25,29:48,12,22,.545,4,7,.571,1,1,1.000,1,1,2,4,2,0,0,1,29,+13,29:48,.646,.636,.318,.045,4.0,3.0,3.5,25.1,3.2,0.0,0.0,31.1,137,93
2,J.R. Smith,2016-10-25,25:14,3,13,.231,2,8,.250,0,0,,0,3,3,2,1,0,0,1,8,+13,25:14,.308,.308,.615,.000,0.0,10.8,6.1,9.7,1.9,0.0,0.0,21.3,78,93
3,Kevin Love,2016-10-25,24:58,6,15,.400,2,6,.333,9,12,.750,2,10,12,2,3,0,2,3,23,+24,24:58,.567,.467,.400,.800,9.6,36.3,24.8,11.5,5.8,0.0,9.0,36.8,117,73
4,Tristan Thompson,2016-10-25,22:25,0,1,.000,0,0,,0,0,,2,4,6,0,0,0,2,4,0,+17,22:25,.000,.000,.000,.000,10.7,16.2,13.8,0.0,0.0,0.0,66.7,5.5,42,94
5,Richard Jefferson,2016-10-25,25:47,5,7,.714,2,3,.667,1,2,.500,0,4,4,1,2,0,2,1,13,+17,25:47,.825,.857,.429,.286,0.0,14.1,8.0,5.2,3.7,0.0,20.2,15.8,119,87
6,Mike Dunleavy,2016-10-25,22:32,2,3,.667,0,1,.000,0,0,,0,4,4,2,3,0,0,0,4,+19,22:32,.667,.667,.333,.000,0.0,16.1,9.2,10.5,6.4,0.0,0.0,5.5,153,80
7,Channing Frye,2016-10-25,14:09,2,6,.333,2,5,.400,0,0,,2,2,4,0,1,1,1,4,6,+7,14:09,.500,.500,.833,.000,17.0,12.8,14.6,0.0,3.4,5.7,14.3,20.4,99,84
8,Iman Shumpert,2016-10-25,13:51,1,3,.333,0,1,.000,0,0,,1,1,2,3,0,1,2,2,2,-5,13:51,.333,.333,.333,.000,8.7,6.5,7.5,25.0,0.0,5.8,40.0,14.9,78,95
9,DeAndre Liggins,2016-10-25,12:00,2,3,.667,0,0,,0,0,,0,3,3,3,0,1,1,1,4,+11,12:00,.667,.667,.000,.000,0.0,22.6,12.9,32.4,0.0,6.7,25.0,13.8,120,87
10,Jordan McRae,2016-10-25,5:50,1,4,.250,0,0,,0,0,,0,0,0,0,0,0,0,1,2,+1,5:50,.250,.250,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.3,57,101
11,Chris Andersen,2016-10-25,5:34,1,1,1.000,0,0,,0,0,,0,0,0,0,0,1,0,0,2,+1,5:34,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,14.4,0.0,7.4,200,92
12,James Jones,2016-10-25,5:30,1,2,.500,1,1,1.000,2,2,1.000,0,0,0,0,0,0,0,1,5,+1,5:30,.868,.750,.500,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6,181,101
0,LaMarcus Aldridge,2016-10-25,35:11,10,20,.500,1,1,1.000,5,6,.833,8,6,14,3,1,0,2,1,26,+10,35:11,.574,.525,.050,.300,22.7,19.5,21.2,12.3,1.4,0.0,8.1,27.5,135,105
1,Kawhi Leonard,2016-10-25,32:03,10,21,.476,0,3,.000,15,15,1.000,3,2,5,3,5,0,2,1,35,+14,32:03,.634,.476,.143,.714,9.4,7.1,8.3,14.0,7.6,0.0,6.8,36.2,145,94
2,Tony Parker,2016-10-25,26:28,4,9,.444,1,2,.500,0,0,,0,3,3,4,0,0,2,4,9,-12,26:28,.500,.500,.222,.000,0.0,13.0,6.0,18.3,0.0,0.0,18.2,16.3,106,109
3,Kyle Anderson,2016-10-25,22:24,1,1,1.000,1,1,1.000,0,0,,2,2,4,0,1,0,0,1,3,-4,22:24,1.500,1.500,1.000,.000,8.9,10.2,9.5,0.0,2.2,0.0,0.0,1.8,263,105
4,Pau Gasol,2016-10-25,18:16,1,4,.250,0,0,,0,0,,0,4,4,1,0,0,1,3,2,-13,18:16,.250,.250,.000,.000,0.0,25.0,11.7,5.9,0.0,0.0,20.0,10.7,61,106
5,Jonathon Simmons,2016-10-25,28:10,8,14,.571,3,5,.600,1,3,.333,1,3,4,3,0,1,2,2,20,+33,28:10,.653,.679,.357,.214,3.6,12.2,7.6,15.3,0.0,3.3,11.5,24.1,129,107
6,Manu Ginobili,2016-10-25,20:52,4,10,.400,2,6,.333,0,0,,0,5,5,2,1,0,0,1,10,+22,20:52,.500,.500,.600,.000,0.0,27.4,12.8,12.2,2.3,0.0,0.0,18.8,131,101
7,Patrick Mills,2016-10-25,17:51,4,9,.444,3,5,.600,0,0,,0,1,1,5,4,0,0,1,11,+35,17:51,.611,.611,.556,.000,0.0,6.4,3.0,37.1,10.9,0.0,0.0,19.8,162,87
8,Dewayne Dedmon,2016-10-25,16:34,1,4,.250,0,0,,0,0,,4,4,8,0,1,2,1,3,2,+29,16:34,.250,.250,.000,.000,24.1,27.6,25.8,0.0,2.9,11.1,20.0,11.8,89,92
9,David Lee,2016-10-25,11:08,2,4,.500,0,0,,2,2,1.000,3,3,6,2,0,0,2,1,6,+13,11:08,.615,.500,.000,.500,26.9,30.8,28.7,22.5,0.0,0.0,29.1,24.2,118,105
10,Davis Bertans,2016-10-25,3:41,2,2,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,5,+6,3:41,1.250,1.250,.500,.000,0.0,31.0,14.5,0.0,0.0,0.0,0.0,21.3,250,106
11,Bryn Forbes,2016-10-25,3:41,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+6,3:41,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,112
12,Nicolas Laprovittola,2016-10-25,3:41,0,0,,0,0,,0,0,,0,0,0,2,0,0,1,1,0,+6,3:41,,,,,0.0,0.0,0.0,55.5,0.0,0.0,100.0,10.6,74,111
0,Kevin Durant,2016-10-25,36:36,11,18,.611,1,3,.333,4,5,.800,0,10,10,4,2,2,0,2,27,-13,36:36,.668,.639,.167,.278,0.0,27.3,14.6,20.5,2.7,3.5,0.0,24.3,139,121
1,Stephen Curry,2016-10-25,34:06,9,18,.500,3,10,.300,5,6,.833,0,3,3,4,0,0,4,1,26,-9,34:06,.630,.583,.556,.333,0.0,8.8,4.7,20.6,0.0,0.0,16.2,31.8,108,139
2,Klay Thompson,2016-10-25,33:21,5,13,.385,1,6,.167,0,0,,0,1,1,2,0,0,1,4,11,-6,33:21,.423,.423,.462,.000,0.0,3.0,1.6,8.8,0.0,0.0,7.1,18.5,84,142
3,Draymond Green,2016-10-25,32:37,7,14,.500,2,5,.400,2,2,1.000,5,7,12,6,5,1,2,2,18,-5,32:37,.605,.571,.357,.143,17.5,21.5,19.6,29.7,7.5,2.0,11.8,22.8,125,114
