,Starters,Date,MP_x,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP_y,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Arron Afflalo,2013-10-29,32:59,3,14,.214,1,5,.200,2,3,.667,1,2,3,1,0,0,1,1,9,-14,32:59,.294,.250,.357,.214,3.1,8.1,5.3,4.6,0.0,0.0,6.1,20.8,69,111
1,Nikola Vucevic,2013-10-29,30:39,4,11,.364,0,0,,0,0,,5,5,10,3,2,1,5,4,8,-22,30:39,.364,.364,.000,.000,16.7,21.8,18.9,15.8,3.3,2.9,31.3,21.9,70,98
2,Jameer Nelson,2013-10-29,30:34,4,13,.308,3,7,.429,1,1,1.000,1,4,5,7,2,0,2,1,12,-11,30:34,.446,.423,.538,.077,3.3,17.4,9.5,37.0,3.3,0.0,13.0,21.2,102,101
3,Jason Maxiell,2013-10-29,26:19,0,5,.000,0,0,,0,0,,1,4,5,0,1,2,2,2,0,-15,26:19,.000,.000,.000,.000,3.9,20.3,11.0,0.0,1.9,6.8,28.6,11.2,8,99
4,Maurice Harkless,2013-10-29,23:30,6,13,.462,2,2,1.000,0,1,.000,1,0,1,0,1,0,0,4,14,-3,23:30,.521,.538,.154,.077,4.3,0.0,2.5,0.0,2.2,0.0,0.0,24.0,111,107
5,E'Twaun Moore,2013-10-29,25:45,3,6,.500,0,1,.000,0,0,,1,0,1,1,2,0,2,2,6,+3,25:45,.500,.500,.167,.000,4.0,0.0,2.2,6.1,3.9,0.0,25.0,13.0,83,104
6,Victor Oladipo,2013-10-29,22:35,4,11,.364,1,2,.500,3,5,.600,1,2,3,2,1,0,3,2,12,-11,22:35,.455,.409,.182,.455,4.5,11.8,7.7,15.5,2.2,0.0,18.5,30.1,85,104
7,Andrew Nicholson,2013-10-29,19:17,8,10,.800,2,2,1.000,0,0,,1,3,4,0,1,0,1,4,18,0,19:17,.900,.900,.200,.000,5.3,20.7,12.0,0.0,2.6,0.0,9.1,23.9,151,101
8,Kyle O'Quinn,2013-10-29,14:23,3,7,.429,0,0,,0,0,,0,4,4,0,0,3,1,2,6,+10,14:23,.429,.429,.000,.000,0.0,37.1,16.1,0.0,0.0,18.5,12.5,23.3,78,92
9,Ronnie Price,2013-10-29,8:37,1,2,.500,0,0,,0,0,,0,1,1,3,0,0,0,2,2,+6,8:37,.500,.500,.000,.000,0.0,15.5,6.7,54.9,0.0,0.0,0.0,9.7,144,108
10,Solomon Jones,2013-10-29,5:22,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,0,2,0,+7,5:22,.000,.000,.000,.000,19.0,24.8,21.6,0.0,0.0,0.0,0.0,7.8,49,105
11,Tobias Harris,2013-10-29,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
12,Doron Lamb,2013-10-29,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
0,Paul George,2013-10-29,36:05,8,16,.500,3,6,.500,5,7,.714,1,5,6,5,1,3,4,0,24,+11,36:05,.629,.594,.375,.438,3.7,14.2,9.6,28.5,1.4,5.4,17.3,29.2,116,91
1,Lance Stephenson,2013-10-29,35:38,8,12,.667,2,3,.667,1,2,.500,2,5,7,5,0,1,1,2,19,+11,35:38,.738,.750,.250,.167,7.5,14.3,11.4,29.0,0.0,1.8,7.2,17.8,150,96
2,David West,2013-10-29,30:43,4,11,.364,0,0,,5,5,1.000,0,5,5,3,2,5,5,2,13,+11,30:43,.492,.364,.000,.455,0.0,16.6,9.4,16.9,3.3,10.6,27.5,27.1,83,82
3,George Hill,2013-10-29,29:04,2,8,.250,0,2,.000,3,4,.750,0,2,2,0,0,0,1,0,7,+5,29:04,.359,.250,.250,.500,0.0,7.0,4.0,0.0,0.0,0.0,9.3,16.9,74,101
