,Team Name,Date,MP_x,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP_y,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
13,New York Knicks,2016-10-25,240,32,87,.368,9,27,.333,15,20,.750,13,29,42,17,6,6,18,22,88,,240,.459,.420,.310,.230,24.5,72.5,45.2,53.1,6.0,10.2,15.8,100.0,88.1,117.1
13,Cleveland Cavaliers,2016-10-25,240,45,94,.479,13,35,.371,14,19,.737,11,40,51,31,12,5,14,22,117,,240,.572,.548,.372,.202,27.5,75.5,54.8,68.9,12.0,8.3,12.0,100.0,117.1,88.1
13,San Antonio Spurs,2016-10-25,240,47,98,.480,12,24,.500,23,26,.885,21,34,55,25,13,3,13,19,129,,240,.589,.541,.245,.265,43.8,81.0,61.1,53.2,13.2,5.8,10.6,100.0,131.3,101.8
13,Golden State Warriors,2016-10-25,240,40,85,.471,7,33,.212,13,18,.722,8,27,35,24,11,6,16,19,100,,240,.538,.512,.388,.212,19.0,56.3,38.9,60.0,11.2,8.1,14.7,100.0,101.8,131.3
13,Utah Jazz,2016-10-25,240,40,82,.488,8,24,.333,16,16,1.000,6,25,31,19,9,5,11,19,104,,240,.584,.537,.293,.195,17.1,83.3,47.7,47.5,9.9,8.9,11.0,100.0,114.9,124.8
13,Portland Trail Blazers,2016-10-25,240,39,75,.520,13,19,.684,22,22,1.000,5,29,34,22,5,3,12,18,113,,240,.667,.607,.253,.293,16.7,82.9,52.3,56.4,5.5,5.2,12.4,100.0,124.8,114.9
13,Brooklyn Nets,2016-10-26,240,43,97,.443,15,44,.341,16,20,.800,15,29,44,22,8,3,16,19,117,,240,.553,.521,.454,.206,30.0,70.7,48.4,51.2,7.8,5.3,13.1,100.0,113.6,118.4
13,Boston Celtics,2016-10-26,240,48,89,.539,11,32,.344,15,18,.833,12,35,47,36,13,9,19,20,122,,240,.629,.601,.360,.202,29.3,70.0,51.6,75.0,12.6,17.0,16.4,100.0,118.4,113.6
13,Dallas Mavericks,2016-10-26,265,45,104,.433,18,48,.375,13,18,.722,10,39,49,26,8,8,15,27,121,,265,.541,.519,.462,.173,18.5,83.0,48.5,57.8,7.0,10.8,11.8,100.0,105.8,113.7
13,Indiana Pacers,2016-10-26,265,47,93,.505,10,19,.526,26,34,.765,8,44,52,30,11,6,16,23,130,,265,.602,.559,.204,.366,17.0,81.5,51.5,63.8,9.6,10.7,12.9,100.0,113.7,105.8
13,Houston Rockets,2016-10-26,240,44,86,.512,7,29,.241,19,27,.704,10,29,39,29,10,1,14,23,114,,240,.582,.552,.337,.314,26.3,72.5,50.0,65.9,10.1,1.9,12.5,100.0,114.7,120.7
